node_id,latitude,longitude,degree,junction_type,source
1,24.5673702,92.3659818,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
2,24.619525,92.7140737,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
3,25.3523572,93.5984436,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
4,23.1863575,93.249808,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
5,22.8853653,92.7325903,8,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
6,23.3848565,92.6143625,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
7,24.6315336,92.7086432,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
9,23.2812916,92.7753393,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
10,24.6847794,92.5644576,8,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
12,23.7407751,92.5574632,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
14,23.1662486,93.270447,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
15,23.9889166,93.5534607,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
16,24.4226164,93.7159089,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
17,25.5266529,91.4341014,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
20,25.9242759,91.4716355,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
21,25.5144791,90.213025,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
22,26.051138,90.4418283,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
23,25.1660838,90.3413946,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
24,27.2960947,95.8556737,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
26,28.010585,94.2025589,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
27,27.8325867,93.937751,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
28,28.0954267,95.3037097,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
29,27.0390776,95.0753202,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
30,27.09131,95.1966405,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
31,26.971352,92.76007,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
32,27.1033649,95.7380071,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
33,27.1657422,95.3323517,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
34,27.2733002,95.2907507,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
35,27.8250082,93.9417073,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
36,26.2111509,92.3477455,8,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
37,27.1895887,97.0075647,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
38,27.1988915,94.9327398,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
39,27.2666821,95.3861496,10,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
40,27.858006,95.791356,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
41,28.9743419,95.9704835,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
42,26.8135162,94.5251679,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
43,26.6539489,94.3190533,8,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
46,27.1088458,93.8242112,5,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
47,26.915701,94.735728,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
48,27.3959661,95.6146319,5,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
49,26.5603795,92.2166577,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
50,27.3568598,96.0133959,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
51,26.464921,91.0691524,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
53,26.5654388,91.0959116,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
54,26.3317032,90.2099632,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
55,26.4153232,90.1696555,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
56,26.3632474,90.179158,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
57,24.2867103,91.8029085,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
58,24.2820987,91.8336115,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
61,24.283608,91.7426864,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
62,23.3803639,91.2383647,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
63,23.4199305,91.2264222,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
65,26.9244484,92.8272855,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
68,26.1043827,91.7073351,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
69,26.1414717,91.6757745,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
71,26.1614423,91.6712925,3,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
72,26.2203882,91.7000487,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
73,26.1947695,91.7164007,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
76,26.1324813,91.8119619,3,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
77,26.1610521,91.9352624,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
78,26.255904,92.0162514,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
79,26.2042999,91.858341,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
83,26.1844797,91.6668072,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
84,26.20099,91.6453369,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
85,26.1810867,91.6800361,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
86,26.1832481,91.6712558,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
87,26.1832668,91.6719564,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
88,26.1897743,91.6711503,3,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
90,26.187049,91.7108509,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
91,26.1576138,91.673761,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
92,26.1519547,91.6504558,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
93,26.1587539,91.6888436,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
94,26.1577198,91.6736528,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
98,26.1187245,91.8189446,3,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
100,26.1192011,91.8225961,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
102,26.1196538,91.8251292,3,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
105,26.0859072,91.7893608,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
106,26.1018515,91.7975536,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
107,26.0992938,91.8022115,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
108,26.1019748,91.7973991,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
109,26.1021675,91.8022777,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
110,26.1024245,91.8041009,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
111,26.1003314,91.8095092,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
115,26.1292023,91.8014976,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
117,26.1626631,91.7711037,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
118,26.1811064,91.7496831,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
119,26.1232409,91.7484663,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
120,26.2480352,91.7826285,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
121,26.2479474,91.7832359,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
122,26.2631753,91.824058,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
123,26.2481959,91.782032,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
124,26.250806,91.7827073,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
125,26.2443435,91.7543881,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
126,26.2382906,91.751812,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
127,26.2433388,91.7508385,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
129,26.2433165,91.751157,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
130,26.2164642,91.7362056,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
132,26.2021102,91.729556,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
134,26.2235776,91.7261597,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
135,26.9534109,94.572178,6,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
136,27.1181471,94.8537831,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
137,27.233394,94.8876408,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
138,27.3123381,94.8818739,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
139,27.3061986,94.8983107,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
140,26.9965235,94.6448292,8,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
141,27.1274686,94.7398619,8,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
142,27.0529318,94.6785665,4,junction_candidate,Derived from Member 4 road_edges endpoint graph; verify before navigation use
