district_osm_id,district_name,state_name,latitude,longitude,annual_rainfall_normal_mm,monsoon_rainfall_normal_mm,annual_rainfall_2022_mm,historical_landslides_1998_2022_state_count,elevation_m,slope_deg,terrain_data_status,prototype_risk_score,prototype_risk_level,label_status
9515358,Anjaw district,Arunachal Pradesh,28.1109136542631,96.81209564477618,2933.7,1768.0,2810.6,7689,4143.0,43.8,ELEVATION_FILLED_SLOPE_FILLED,0.480069539854602,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
19969401,Bichom,Arunachal Pradesh,27.531021577080388,92.59787245873164,2933.7,1768.0,2810.6,7689,2789.0,20.35,ELEVATION_FILLED_SLOPE_FILLED,0.480069539854602,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027455,Changlang,Arunachal Pradesh,27.36282475262198,96.33984961654284,2933.7,1768.0,2810.6,7689,779.0,9.16,ELEVATION_FILLED_SLOPE_FILLED,0.480069539854602,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027456,Dibang Valley,Arunachal Pradesh,28.847972607740253,95.91090666686102,2933.7,1768.0,2810.6,7689,2777.0,34.18,ELEVATION_FILLED_SLOPE_FILLED,0.480069539854602,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027347,East Kameng,Arunachal Pradesh,27.59146493982756,92.94674938916208,2933.7,1768.0,2810.6,7689,1026.0,30.76,ELEVATION_FILLED_SLOPE_FILLED,0.480069539854602,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027435,East Siang,Arunachal Pradesh,28.046250883415983,95.35602465707213,2933.7,1768.0,2810.6,7689,153.0,2.97,ELEVATION_FILLED_SLOPE_FILLED,0.480069539854602,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9516226,Kamle,Arunachal Pradesh,27.746556607351387,94.10591960696732,2933.7,1768.0,2810.6,7689,784.0,30.04,ELEVATION_FILLED_SLOPE_FILLED,0.480069539854602,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
19969417,Keyi Panyor,Arunachal Pradesh,27.49815322694358,93.7082750642338,2933.7,1768.0,2810.6,7689,1175.0,17.59,ELEVATION_FILLED_SLOPE_FILLED,0.480069539854602,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9516234,Kra Daadi,Arunachal Pradesh,27.98059708845603,93.6998535720125,2933.7,1768.0,2810.6,7689,1580.0,26.79,ELEVATION_FILLED_SLOPE_FILLED,0.480069539854602,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
3841144,Kurung Kumey,Arunachal Pradesh,28.00662303452696,93.20304525328086,2933.7,1768.0,2810.6,7689,2082.0,41.5,ELEVATION_FILLED_SLOPE_FILLED,0.480069539854602,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
